job_id,ProducerName,rank,op,particles,filesystem,#module,seg:len,occurences,total_dur
256576,nid00020,0,write,5,nfs,STDIO,10,2,5.9e-5
256576,nid00020,0,write,5,nfs,STDIO,11,1,1.5e-5
256576,nid00020,0,write,5,nfs,STDIO,12,1,4.5e-5
256576,nid00020,0,write,5,nfs,STDIO,14,2,6.1000000000000005e-05
256576,nid00020,0,write,5,nfs,STDIO,20,1,4.4e-5
256576,nid00020,0,write,5,nfs,STDIO,24,1,1.5e-5
256576,nid00020,0,write,5,nfs,STDIO,30,1,5.1e-5
256576,nid00020,0,write,5,nfs,STDIO,39,2,2.6e-5
256577,nid00020,0,write,5,nfs,STDIO,0,5,1.49e-4
256577,nid00020,0,write,5,nfs,STDIO,7,6,1.4e-4
256577,nid00020,0,write,5,nfs,STDIO,10,2,4.6e-5
256577,nid00020,0,write,5,nfs,STDIO,11,1,1.2e-5
256577,nid00020,0,write,5,nfs,STDIO,12,1,3.5e-5
256577,nid00020,0,write,5,nfs,STDIO,14,2,4.7e-5
256577,nid00020,0,write,5,nfs,STDIO,20,1,3.4e-5
256577,nid00020,0,write,5,nfs,STDIO,24,1,1.1e-5
256577,nid00020,0,write,5,nfs,STDIO,30,1,4e-5
256577,nid00020,0,write,5,nfs,STDIO,39,2,2.3e-5
256578,nid00020,0,write,5,nfs,STDIO,0,5,4.59e-4
256578,nid00020,0,write,5,nfs,STDIO,7,6,2.83e-4
256578,nid00020,0,write,5,nfs,STDIO,10,2,9.400000000000001e-5
256578,nid00020,0,write,5,nfs,STDIO,11,1,1.4e-5
256578,nid00020,0,write,5,nfs,STDIO,12,1,8e-5
256578,nid00020,0,write,5,nfs,STDIO,14,2,9.5e-5
256578,nid00020,0,write,5,nfs,STDIO,20,1,7.9e-5
256578,nid00020,0,write,5,nfs,STDIO,24,1,1.4e-5
256578,nid00020,0,write,5,nfs,STDIO,30,1,8.8e-5
256578,nid00020,0,write,5,nfs,STDIO,39,2,2.4e-5
256579,nid00020,0,write,5,nfs,STDIO,0,5,1.95e-4
256579,nid00020,0,write,5,nfs,STDIO,6,1,4.8e-5
256579,nid00020,0,write,5,nfs,STDIO,7,5,1.39e-4
256579,nid00020,0,write,5,nfs,STDIO,10,2,6.2e-5
256579,nid00020,0,write,5,nfs,STDIO,11,1,1.4e-5
256579,nid00020,0,write,5,nfs,STDIO,12,1,4.8e-5
256579,nid00020,0,write,5,nfs,STDIO,14,2,6.3e-5
256579,nid00020,0,write,5,nfs,STDIO,20,1,4.8e-5
256579,nid00020,0,write,5,nfs,STDIO,24,1,1.3e-5
256579,nid00020,0,write,5,nfs,STDIO,30,1,5.5e-5
256579,nid00020,0,write,5,nfs,STDIO,39,2,2.6e-5
256580,nid00020,0,write,5,nfs,STDIO,0,5,1.67e-4
256580,nid00020,0,write,5,nfs,STDIO,7,6,1.5900000000000002e-4
256580,nid00020,0,write,5,nfs,STDIO,10,2,5.3e-5
256580,nid00020,0,write,5,nfs,STDIO,11,1,1.2e-5
256580,nid00020,0,write,5,nfs,STDIO,12,1,4.1e-5
256580,nid00020,0,write,5,nfs,STDIO,14,2,5.3e-5
256580,nid00020,0,write,5,nfs,STDIO,20,1,4.1e-5
256580,nid00020,0,write,5,nfs,STDIO,24,1,1.2e-5
256580,nid00020,0,write,5,nfs,STDIO,30,1,4.6e-5
256580,nid00020,0,write,5,nfs,STDIO,39,2,2.3e-5
256583,nid00020,0,write,10,nfs,STDIO,0,5,1.67e-4
256583,nid00020,0,write,10,nfs,STDIO,6,1,4.2e-5
256583,nid00020,0,write,10,nfs,STDIO,7,5,1.1999999999999999e-4
256583,nid00020,0,write,10,nfs,STDIO,10,2,5.4e-5
256583,nid00020,0,write,10,nfs,STDIO,12,2,5.4e-5
256583,nid00020,0,write,10,nfs,STDIO,14,2,5.4e-5
256583,nid00020,0,write,10,nfs,STDIO,20,1,4.2e-5
256583,nid00020,0,write,10,nfs,STDIO,24,1,1.2e-5
256583,nid00020,0,write,10,nfs,STDIO,30,1,4.6e-5
256583,nid00020,0,write,10,nfs,STDIO,39,2,2.3e-5
256584,nid00020,0,write,10,nfs,STDIO,0,5,2.11e-4
256584,nid00020,0,write,10,nfs,STDIO,7,6,2.08e-4
256584,nid00020,0,write,10,nfs,STDIO,10,2,6.9e-5
256584,nid00020,0,write,10,nfs,STDIO,12,2,7e-5
256584,nid00020,0,write,10,nfs,STDIO,14,2,7e-5
256584,nid00020,0,write,10,nfs,STDIO,20,1,5.1e-5
256584,nid00020,0,write,10,nfs,STDIO,24,1,1.7e-5
256584,nid00020,0,write,10,nfs,STDIO,30,1,5.7e-5
256584,nid00020,0,write,10,nfs,STDIO,39,2,3.1e-5
256585,nid00020,0,write,10,nfs,STDIO,0,5,1.83e-4
256585,nid00020,0,write,10,nfs,STDIO,6,1,1.2e-5
256585,nid00020,0,write,10,nfs,STDIO,7,5,1.6e-4
256585,nid00020,0,write,10,nfs,STDIO,10,2,5.6999999999999996e-5
